task_success,mean_time,rejection_rate,corrective_per_mission,false_activation_rate,method,k,tau
0.967,13.011720096518442,0.0515333544103699,0.11933333333333333,0.004206730769230769,supLP120,3,0.8
0.9776666666666667,13.161609273781112,0.06880496637351267,0.08966666666666667,0.0030048076923076925,supLP120,3,0.85
0.9796666666666667,13.474310990132699,0.09129918974177752,0.089,0.002003205128205128,supLP120,3,0.9
0.983,13.801288572397423,0.11641263529931523,0.07233333333333333,0.002003205128205128,supLP120,3,0.93
0.9846666666666667,14.179756262694651,0.14110151290984585,0.06933333333333333,0.002003205128205128,supLP120,3,0.95
0.996,15.014056224899598,0.1902742692168892,0.072,0.0018028846153846155,supLP120,3,0.97
0.9526666666666667,17.338698390482854,0.3136015438845237,0.044333333333333336,0.0018028846153846155,supLP120,3,0.99
0.9746666666666667,14.303351573187415,0.0,0.7636666666666667,0.05328923190003675,supcon,1,0.0
0.9743333333333334,14.334245638043106,0.0006943865788962031,0.774,0.05292171995589857,supcon,1,0.3
0.9863333333333333,14.185873605947956,0.012567226429590605,0.6786666666666666,0.04759279676589489,supcon,1,0.5
0.9886666666666667,14.169251517194875,0.032856029874002636,0.5866666666666667,0.03858875413450937,supcon,1,0.6
0.9906666666666667,14.143337819650068,0.05803548066356167,0.4656666666666667,0.03325983094450569,supcon,1,0.7
0.993,14.25746894931185,0.08654944051153231,0.375,0.02682837192208747,supcon,1,0.8
0.997,14.57271815446339,0.11350259807422365,0.3466666666666667,0.02462330025725836,supcon,1,0.85
0.9986666666666667,14.801068090787718,0.14199503864135102,0.274,0.020764424843807423,supcon,1,0.9
0.998,15.191382765531062,0.16942301473645308,0.251,0.018191841234840134,supcon,1,0.93
0.996,15.491967871485944,0.18829246242513278,0.24366666666666667,0.014884233737596472,supcon,1,0.95
0.984,16.226626016260163,0.2348587243354573,0.20833333333333334,0.011944138184490995,supcon,1,0.97
0.8583333333333333,19.028349514563107,0.3771135091465174,0.20133333333333334,0.007717750826901874,supcon,1,0.99
0.9643333333333334,12.8814379536813,0.0,0.29233333333333333,0.016025641025641024,supcon,3,0.0
0.9683333333333334,12.90843373493976,0.0006411864737531711,0.2996666666666667,0.015625,supcon,3,0.3
0.9713333333333334,12.877144818119424,0.008949781780012154,0.254,0.014423076923076924,supcon,3,0.5
0.9763333333333334,12.918060771594401,0.02541430470042583,0.20166666666666666,0.010216346153846154,supcon,3,0.6
0.9843333333333333,13.080257365391128,0.04166222127387176,0.185,0.007411858974358974,supcon,3,0.7
0.9903333333333333,13.30057219791316,0.06639305937970803,0.149,0.005608974358974359,supcon,3,0.8
0.9893333333333333,13.403638814016173,0.08268028079132099,0.10633333333333334,0.005208333333333333,supcon,3,0.85
