test_subject,oov_label,method,k,calibration_mode,base_train_samples,base_val_samples,calib_samples,eval_samples,eval_known_samples,eval_oov_samples,final_acc_all,final_macro_f1_all,final_acc_known,final_macro_f1_known,final_acc_oov,final_recall_oov,best_diag_acc_all,best_diag_epoch,base_ckpt,calibration_ckpt,pretrained_ckpt,oov_pred_counts_json
sub9,airkick,supMAE,5,head_only,1628,407,110,426,406,20,88.732394,0.871698,91.133005,0.903475,40.000000,40.000000,88.732394,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supMAE_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supMAE_k5_head_only_last.pth,trained_models/SUPMAE/supmae_best.pth,"{""airkick"": 8, ""hop"": 1, ""jump"": 1, ""sidekick"": 10}"
sub9,airkick,supMAE,10,head_only,1628,407,220,316,301,15,97.151899,0.968272,97.342193,0.969939,93.333333,93.333333,97.151899,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supMAE_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supMAE_k10_head_only_last.pth,trained_models/SUPMAE/supmae_best.pth,"{""airkick"": 14, ""hop"": 1}"
sub9,airkick,mae,1,head_only,1628,407,22,514,490,24,80.350195,0.784495,81.836735,0.807039,50.000000,50.000000,80.350195,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_mae_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_mae_k1_head_only_last.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,"{""airkick"": 12, ""jump"": 2, ""sidekick"": 10}"
sub9,airkick,mae,3,head_only,1628,407,66,470,448,22,87.234043,0.864011,88.616071,0.879390,59.090909,59.090909,87.234043,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_mae_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_mae_k3_head_only_last.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,"{""airkick"": 13, ""hop"": 1, ""jump"": 1, ""sidekick"": 7}"
sub9,airkick,mae,5,head_only,1628,407,110,426,406,20,84.507042,0.820267,86.945813,0.852439,35.000000,35.000000,84.507042,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_mae_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_mae_k5_head_only_last.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,"{""airkick"": 7, ""hop"": 1, ""jump"": 3, ""sidekick"": 9}"
sub9,airkick,mae,10,head_only,1628,407,220,316,301,15,94.620253,0.937964,95.016611,0.942215,86.666667,86.666667,94.620253,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_mae_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_mae_k10_head_only_last.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,"{""airkick"": 13, ""hop"": 1, ""sidekick"": 1}"
sub9,airkick,supcon,1,head_only,1628,407,22,514,490,24,84.241245,0.825806,85.918367,0.849835,50.000000,50.000000,84.241245,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supcon_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supcon_k1_head_only_last.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"{""airkick"": 12, ""jump"": 1, ""sidekick"": 10, ""walk"": 1}"
sub9,airkick,supcon,3,head_only,1628,407,66,470,448,22,88.085106,0.877674,89.285714,0.891345,63.636364,63.636364,88.085106,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supcon_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supcon_k3_head_only_last.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"{""airkick"": 14, ""jump"": 1, ""sidekick"": 7}"
sub9,airkick,supcon,5,head_only,1628,407,110,426,406,20,94.600939,0.946826,94.581281,0.948615,95.000000,95.000000,94.600939,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supcon_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supcon_k5_head_only_last.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"{""airkick"": 19, ""jump"": 1}"
sub9,airkick,supcon,10,head_only,1628,407,220,316,301,15,96.202532,0.958128,96.345515,0.960044,93.333333,93.333333,96.202532,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supcon_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supcon_k10_head_only_last.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"{""airkick"": 14, ""sidekick"": 1}"
sub9,airpunch,scratch,1,head_only,1630,407,22,514,498,16,82.295720,0.822065,83.534137,0.839419,43.750000,43.750000,82.295720,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_scratch_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_scratch_k1_head_only_last.pth,,"{""airpunch"": 7, ""drink"": 1, ""highfive"": 8}"
sub9,airpunch,scratch,3,head_only,1630,407,66,470,456,14,94.042553,0.933195,94.736842,0.943581,71.428571,71.428571,94.042553,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_scratch_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_scratch_k3_head_only_last.pth,,"{""airpunch"": 10, ""drink"": 1, ""throw"": 3}"
sub9,airpunch,scratch,5,head_only,1630,407,110,426,414,12,89.906103,0.918678,89.855072,0.920416,91.666667,91.666667,89.906103,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_scratch_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_scratch_k5_head_only_last.pth,,"{""airpunch"": 11, ""drink"": 1}"
sub9,airpunch,scratch,10,head_only,1630,407,220,316,309,7,97.784810,0.980115,97.734628,0.979168,100.000000,100.000000,97.784810,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_scratch_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_scratch_k10_head_only_last.pth,,"{""airpunch"": 7}"
sub9,airpunch,supLP120,1,head_only,1630,407,22,514,498,16,79.961089,0.791836,81.325301,0.812758,37.500000,37.500000,79.961089,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_supLP120_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_supLP120_k1_head_only_last.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,"{""airpunch"": 6, ""drink"": 1, ""highfive"": 3, ""throw"": 6}"
sub9,airpunch,supLP120,3,head_only,1630,407,66,470,456,14,90.851064,0.899937,91.228070,0.909845,78.571429,78.571429,90.851064,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_supLP120_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_supLP120_k3_head_only_last.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,"{""airpunch"": 11, ""drink"": 1, ""throw"": 2}"
sub9,airpunch,supLP120,5,head_only,1630,407,110,426,414,12,91.079812,0.930529,91.304348,0.936599,83.333333,83.333333,91.079812,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_supLP120_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airpunch_supLP120_k5_head_only_last.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,"{""airpunch"": 10, ""drink"": 1, ""highfive"": 1}"
