test_subject,oov_label,method,num_known_classes,base_train_samples,base_val_samples,best_epoch,best_val_acc,final_val_acc,final_val_macro_f1,base_ckpt,pretrained_ckpt
sub8,pushchair,supLP120,21,1615,404,25,98.514851,98.267327,0.982870,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-pushchair_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,pushchair,supMAE,21,1615,404,35,99.009901,98.762376,0.985546,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-pushchair_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,pushchair,mae,21,1615,404,43,99.009901,98.514851,0.983896,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-pushchair_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,pushchair,supcon,21,1615,404,15,99.504950,99.257426,0.993793,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-pushchair_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,runonspot,scratch,21,1629,407,54,98.525799,98.034398,0.979023,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-runonspot_scratch_base21_bestVal.pth,
sub8,runonspot,supLP120,21,1629,407,12,98.525799,98.034398,0.980899,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-runonspot_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,runonspot,supMAE,21,1629,407,33,100.000000,99.754300,0.997426,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-runonspot_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,runonspot,mae,21,1629,407,31,98.280098,98.280098,0.981992,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-runonspot_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,runonspot,supcon,21,1629,407,38,98.771499,98.771499,0.987268,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-runonspot_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,sidekick,scratch,21,1628,407,21,99.754300,99.508600,0.994220,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-sidekick_scratch_base21_bestVal.pth,
sub8,sidekick,supLP120,21,1628,407,9,99.262899,99.262899,0.992502,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-sidekick_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,sidekick,supMAE,21,1628,407,19,99.017199,98.280098,0.983839,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-sidekick_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,sidekick,mae,21,1628,407,32,99.017199,98.771499,0.988823,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-sidekick_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,sidekick,supcon,21,1628,407,18,99.262899,99.262899,0.993242,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-sidekick_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,sit,scratch,21,1615,404,25,99.504950,99.009901,0.990125,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-sit_scratch_base21_bestVal.pth,
sub8,sit,supLP120,21,1615,404,16,98.514851,98.514851,0.983211,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-sit_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,sit,supMAE,21,1615,404,31,99.257426,98.762376,0.985732,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-sit_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,sit,mae,21,1615,404,17,99.009901,98.514851,0.986904,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-sit_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,sit,supcon,21,1615,404,12,99.504950,99.504950,0.994104,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-sit_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,squat,scratch,21,1618,404,71,99.504950,99.257426,0.991792,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-squat_scratch_base21_bestVal.pth,
sub8,squat,supLP120,21,1618,404,13,98.762376,98.514851,0.983644,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-squat_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,squat,supMAE,21,1618,404,17,99.504950,99.257426,0.993315,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-squat_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,squat,mae,21,1618,404,12,99.257426,99.009901,0.990021,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-squat_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,squat,supcon,21,1618,404,8,99.009901,99.009901,0.989503,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-squat_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,stand,scratch,21,1617,404,22,99.752475,99.752475,0.997196,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-stand_scratch_base21_bestVal.pth,
sub8,stand,supLP120,21,1617,404,8,99.009901,98.514851,0.984450,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-stand_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,stand,supMAE,21,1617,404,21,98.762376,98.514851,0.984261,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-stand_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,stand,mae,21,1617,404,26,99.257426,98.762376,0.989010,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-stand_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,stand,supcon,21,1617,404,9,99.257426,99.009901,0.989722,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-stand_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,throw,scratch,21,1624,406,15,98.768473,98.275862,0.982217,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-throw_scratch_base21_bestVal.pth,
sub8,throw,supLP120,21,1624,406,12,99.014778,98.768473,0.988263,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-throw_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
