vocab,method,k,tau,hard_success,mean_cost,rejection_rate,corrective_per_mission
15,supMAE,3,0.9,0.808,20.069,0.29238894066480275,0.378
15,supLP120,3,0.9,0.951,17.02,0.21581787077247006,0.334
15,supcon,3,0.9,0.928,16.96,0.19898198379211038,0.223
16,scratch,1,0.0,0.34,35.254,0.0,1.538
16,mae,1,0.0,0.193,44.494,0.0,1.538
16,supMAE,1,0.0,0.246,39.388,0.0,1.336
16,supLP120,1,0.0,0.305,35.686,0.0,1.182
16,supcon,1,0.0,0.329,35.408,0.0,1.316
16,scratch,1,0.9,0.575,28.709,0.2784356591971822,0.874
16,mae,1,0.9,0.397,34.921,0.4087799315849487,0.809
16,supMAE,1,0.9,0.541,29.453,0.28876015289058765,0.803
16,supLP120,1,0.9,0.572,28.71,0.2808021197157654,0.728
16,supcon,1,0.9,0.619,27.299,0.2957655107336636,0.601
16,scratch,3,0.0,0.423,30.454,0.0,0.758
16,mae,3,0.0,0.38,31.532,0.0,0.764
16,supMAE,3,0.0,0.474,27.263,0.0,0.581
16,supLP120,3,0.0,0.594,23.874,0.0,0.638
16,supcon,3,0.0,0.517,26.311,0.0,0.777
16,scratch,3,0.9,0.68,24.341,0.2912349648684054,0.229
16,mae,3,0.9,0.589,26.79,0.37821911828895677,0.214
16,supMAE,3,0.9,0.666,24.244,0.24480908804039128,0.293
16,supLP120,3,0.9,0.827,19.345,0.1964465303385853,0.25
16,supcon,3,0.9,0.821,19.892,0.23394848135332563,0.182
17,scratch,1,0.0,0.352,33.863,0.0,1.361
17,mae,1,0.0,0.284,37.89,0.0,1.45
17,supMAE,1,0.0,0.25,38.564,0.0,0.848
17,supLP120,1,0.0,0.399,32.736,0.0,1.312
17,supcon,1,0.0,0.312,35.617,0.0,1.279
17,scratch,1,0.9,0.481,29.45,0.4582661604867648,0.547
17,mae,1,0.9,0.387,33.857,0.4754500416932359,0.59
17,supMAE,1,0.9,0.44,32.229,0.3733887061107815,0.256
17,supLP120,1,0.9,0.676,26.461,0.3293111262179923,0.683
17,supcon,1,0.9,0.64,27.519,0.347385420727293,0.754
17,scratch,3,0.0,0.477,28.072,0.0,1.004
17,mae,3,0.0,0.462,29.009,0.0,0.983
17,supMAE,3,0.0,0.461,27.977,0.0,0.639
17,supLP120,3,0.0,0.591,23.105,0.0,0.515
